dgrp	sex	low_extreme	mediocre	high_extreme	total_nr_phenotypes	fraction_extreme
DGRP_639	F	0.1506849315068493	0.7397260273972602	0.1095890410958904	73	0.2602739726027397
DGRP_639	M	0.21176470588235294	0.7176470588235294	0.07058823529411765	85	0.2823529411764706
DGRP_639	NA	0.10909090909090909	0.8363636363636363	0.05454545454545454	55	0.16363636363636364
DGRP_642	F	0.11940298507462686	0.7611940298507462	0.11940298507462686	67	0.23880597014925373
DGRP_642	M	0.1780821917808219	0.6301369863013698	0.1917808219178082	73	0.3698630136986301
DGRP_642	NA	0.038461538461538464	0.8076923076923077	0.15384615384615385	52	0.19230769230769232
DGRP_646	F	0.25	0.6166666666666667	0.13333333333333333	60	0.3833333333333333
DGRP_646	M	0.19718309859154928	0.676056338028169	0.1267605633802817	71	0.323943661971831
DGRP_646	NA	0.425531914893617	0.46808510638297873	0.10638297872340426	47	0.5319148936170213
DGRP_663	F	NA	0.8	0.2	5	0.2
DGRP_663	M	NA	1	NA	5	0
DGRP_672	F	0.4	0.6	NA	5	0.4
DGRP_672	M	0.4	0.6	NA	5	0.4
DGRP_679	F	0.5	0.5	NA	4	0.5
DGRP_679	M	0.25	0.75	NA	4	0.25
DGRP_702	F	NA	1	NA	5	0
DGRP_702	M	NA	1	NA	5	0
DGRP_703	F	0.2	0.7285714285714285	0.07142857142857142	70	0.27142857142857146
DGRP_703	M	0.15384615384615385	0.8205128205128205	0.02564102564102564	78	0.1794871794871795
DGRP_703	NA	0.1276595744680851	0.7446808510638298	0.1276595744680851	47	0.2553191489361702
DGRP_705	F	0.24285714285714285	0.5285714285714286	0.22857142857142856	70	0.4714285714285714
DGRP_705	M	0.08928571428571429	0.5892857142857143	0.32142857142857145	56	0.41071428571428575
DGRP_705	NA	0.08928571428571429	0.6964285714285714	0.21428571428571427	56	0.30357142857142855
DGRP_707	F	0.10810810810810811	0.6756756756756757	0.21621621621621623	74	0.32432432432432434
DGRP_707	M	0.08333333333333333	0.7142857142857143	0.20238095238095238	84	0.2857142857142857
DGRP_707	NA	0.23529411764705882	0.6470588235294118	0.11764705882352941	51	0.3529411764705882
DGRP_712	F	0.1891891891891892	0.7162162162162162	0.0945945945945946	74	0.28378378378378377
DGRP_712	M	0.15853658536585366	0.6951219512195121	0.14634146341463414	82	0.3048780487804878
DGRP_712	NA	0.08928571428571429	0.8035714285714286	0.10714285714285714	56	0.19642857142857142
DGRP_713	F	0.2	0.8	NA	5	0.2
DGRP_713	M	0.2	0.8	NA	5	0.2
DGRP_714	F	0.12658227848101267	0.6708860759493671	0.20253164556962025	79	0.3291139240506329
DGRP_714	M	0.2261904761904762	0.6190476190476191	0.15476190476190477	84	0.38095238095238093
DGRP_714	NA	0.09803921568627451	0.6274509803921569	0.27450980392156865	51	0.37254901960784315
